chip_id	sample	hm	input_id	CEMT_JSD	CEMT_JSD_synthetic	AUC_bs_100	X-intercept_bs_100	Elbow_Point_bs_100	JS_Distance_bs_100	Synthetic_JS_Distance_bs_100	%_genome_enriched_bs_100	CHANCE_bs_100	AUC_bs_200	X-intercept_bs_200	Elbow_Point_bs_200	JS_Distance_bs_200	Synthetic_JS_Distance_bs_200	%_genome_enriched_bs_200	CHANCE_bs_200
A37107	CEMT_47	H3K4me3	A37112	0.310648364101	0.390826492042	0.10702139492512874	0.41841263706213794	0.8019652869040766	0.3511064124934705	0.5018847575882679	2.1179074773763706	0.3625690424792957	0.1222413628959323	0.3659137154885555	0.8043859045022055	0.30164663161926103	0.45333544055051217	2.0913275716782853	0.3541362106030733
A47306	CEMT_33	H3K4me3	A47311	0.393548682454	0.454899526863	0.08181622716256716	0.49227387566335234	0.86199817366014	0.427607181541753	0.5416981946191525	1.7810344055463008	0.49240239103783323	0.09767501141961438	0.4319079827217411	0.8573246890452465	0.35988601388896535	0.4757383821956232	1.7303278221289544	0.4787181033800487
A47313	CEMT_34	H3K4me3	A47318	0.267545006987	0.316784219425	0.17258322888674593	0.3040027910636055	0.7337035858080696	0.31373212111854987	0.4146438749401579	9.311534742258166	0.2541702176491595	0.19813765845786635	0.23804401122411054	0.7529974121817039	0.2899352035077696	0.381839369722974	4.188039445851456	0.256956271311769
A50435	CEMT_50	H3K4me3	A50440	0.221255852762	0.27173158797	0.19722914973427172	0.29387473931711605	0.705355919127636	0.260032405545971	0.3603642663738715	21.916881127637673	0.2683617465854109	0.22395315822451514	0.22837206291135104	0.7064051404548504	0.25391693985919456	0.3489795161888542	20.30810590942352	0.23661613348993976
A50442	CEMT_51	H3K4me3	A50447	0.195139989946	0.255939332089	0.20203085474442456	0.30587705885706074	0.6966661005027381	0.2298478027498266	0.33825972418407724	23.839631552380222	0.25586149712580397	0.2296243212046351	0.2392637304942386	0.6865450887015057	0.2251856047351297	0.3280860656300633	22.52992580404742	0.2218908779676992
A50449	CEMT_52	H3K4me3	A50454	0.237159255947	0.262054251393	0.19780958370911514	0.31676234429353267	0.7047982416118734	0.2589549946327382	0.34293372039618036	24.556597690627648	0.28265046544574657	0.22646156165858683	0.24714354692313228	0.6914578008677303	0.24963299089956528	0.33218213597668156	23.152526521075128	0.24431531133100645
A50456	CEMT_53	H3K4me3	A50461	0.289720963594	0.307825164311	0.18140179217796365	0.2780401412387547	0.7379497308707053	0.322742152594139	0.4094614251903219	16.34263368679777	0.3184259026569726	0.2048792027307118	0.21758243657291662	0.7623909888313446	0.30472347885316814	0.3890390708518962	15.427374335538383	0.29307036176277285
A50463	CEMT_54	H3K4me3	A50468	0.210485610087	0.232151829547	0.2190583780757662	0.2407236904742445	0.6700303677444251	0.23024967716781922	0.33009573752230553	26.48088335189948	0.25336945373510783	0.24309167586725244	0.18677397355849648	0.6843699308565284	0.22474449739259408	0.3212356960465883	23.12076236048853	0.22535613217531425
A50470	CEMT_55	H3K4me3	A50475	0.116864961063	0.161378516058	0.25560942646331414	0.22954231592958413	0.6128547359530603	0.12401545442316082	0.23766065611279225	33.98442352565357	0.2172684009327375	0.2812657788111558	0.17657010774537396	0.6037230742961524	0.1157738789599933	0.2290784487540015	33.329038787870346	0.18181866987057033
A50477	CEMT_56	H3K4me3	A50482	0.266606873561	0.291221186797	0.19530814704411725	0.2252049602701923	0.749523933238228	0.30328384110847356	0.40156976417641677	18.434335447297702	0.29428578340582867	0.2148710527548163	0.1774844074468708	0.7502565765224809	0.28255587923840947	0.3788023706571112	16.38977165656739	0.27527858599306476
A50484	CEMT_57	H3K4me3	A50489	0.207204946133	0.230699680072	0.22774983426190384	0.16375613297763458	0.6847885905054637	0.23684915449926272	0.3526438599479094	21.87341987474712	0.23608591438775392	0.24330865156181009	0.13335975832929026	0.6961367274944539	0.22975968937971433	0.3407766784315087	20.869130884591247	0.21982991298506105
A50613	CEMT_58	H3K4me3	A50618	0.305573396949	0.325609070166	0.1828340631721094	0.17867904422514566	0.7868783319958036	0.3480216351480605	0.44618842962661465	12.977601043947033	0.33406259361542046	0.19741829552404203	0.1426475189263069	0.8024365935510629	0.3076457688314395	0.40743579265107444	11.075026611995684	0.3265674338325781
A50620	CEMT_59	H3K4me3	A50625	0.310679828179	0.332863756613	0.1737874309856509	0.23386193888193604	0.7847874846293701	0.3498602229128502	0.44501131837253294	13.862334160096617	0.33631541283379285	0.19271620539867937	0.18318622258229342	0.7960124436066857	0.3124707286701718	0.4081332109718881	11.110853180452674	0.32477629236990035
A50872	CEMT_60	H3K4me3	A50877	0.284343004656	0.317129713695	0.1906214009876704	0.1646397054075052	0.7776385276655862	0.3243971655029638	0.4337202301739633	10.153880240325252	0.3087999063995976	0.20526618036430752	0.13181933195443604	0.7891862442484687	0.28084609360647217	0.39255346045405404	8.270108080683805	0.30565274736843
A50879	CEMT_61	H3K4me3	A50884	0.258005547187	0.293113765108	0.206216895232237	0.15750032410552275	0.7485266780355888	0.30025741994740773	0.41050309703964477	14.480738137149464	0.2771640137014036	0.22156022776385528	0.1258344379213781	0.7659349560782778	0.2668863199981433	0.37690579655533496	12.255472063401418	0.2693251519745688
A50886	CEMT_63	H3K4me3	A50891	0.326107032767	0.341492746557	0.16987510335418665	0.27117819619873307	0.7964003120569544	0.36383464316437963	0.44376888210915044	13.242015050683461	0.34276176750087867	0.19267489610267743	0.2104542648963338	0.7975788564953775	0.3285549070964267	0.40822939991499435	11.086317526568791	0.3235078050300363
A50893	CEMT_64	H3K4me3	A50898	0.35104270118	0.373562891231	0.15557121470502192	0.24565318958362733	0.8111947740229254	0.38432353546224673	0.47159777623862326	8.71064423150365	0.3776242510016265	0.17328948313579115	0.19485681108462163	0.8277848579743519	0.3251333715731576	0.4170642577941086	6.598852827603532	0.3718544408424471
A51315	CEMT_65	H3K4me3	A51320	0.269950740774	0.290485922547	0.18258335967303332	0.29345089537757657	0.7227823661963275	0.3012712165151873	0.3927756491776718	16.03999118781184	0.29826831667441533	0.2063322122478204	0.2320508634099826	0.7408753805444452	0.29031456552247253	0.3795419898611027	15.05093743608156	0.2721373068024137
A51322	CEMT_66	H3K4me3	A51327	0.325195904924	0.365684494269	0.1599259887569581	0.23081336412891962	0.8025406004030226	0.3578388109265147	0.4652369770809327	8.886623616167753	0.35920594224328245	0.1757546526057136	0.18571974647479722	0.8208522622195294	0.30070903095663615	0.4132252534092979	6.664289835649163	0.3566290936328022
A51329	CEMT_67	H3K4me3	A51334	0.31222842262	0.344784649787	0.16977104426145648	0.19297850573441894	0.7916450770958455	0.34605014229269004	0.45523378013254984	9.307762511851493	0.34133482797977227	0.18329935369354905	0.1563358344869282	0.8032882161025594	0.2940077350432754	0.40838502967071966	7.633844732449818	0.33829786957512137
A52086	CEMT_62	H3K4me3	A52091	0.307335240033	0.367189258345	0.15303276694248535	0.256062611028912	0.7965740281033744	0.3286429758932612	0.45932113078252773	3.6636933430740704	0.3554672105347062	0.17277322568204392	0.20035718237580447	0.8081118418286665	0.27284937194873204	0.40722268542100204	2.6854321537906394	0.35668956870712665
A55591	CEMT_68	H3K4me3	A55596	0.135191438958	0.216908222676	0.18404574685754221	0.37387679953453323	0.6605904522798048	0.16379606046082798	0.30399704708773617	18.201830300257058	0.17451006374495678	0.21292193561051484	0.30482132293202163	0.63661366233736	0.15826888413650733	0.2922456364773286	19.086866439144984	0.13955259595216138
A55598	CEMT_72	H3K4me3	A55603	0.11512497126	0.190002717857	0.2205767285927639	0.2967482114651202	0.6407671661379938	0.13468455606667087	0.2701636433970941	28.502845325485616	0.1717152668376862	0.25136587098634045	0.2272887044831887	0.6237178065503834	0.12664088681643748	0.2589938230277251	23.452229807602706	0.13466743197288725
